index name,5,10,15,20,25,30,35,40,45,50
baseline,0.950368535292,0.950368535292,0.950368535292,0.950368535292,0.950368535292,0.950368535292,0.950368535292,0.950368535292,0.950368535292,0.950368535292
fisher_score,0.10242334027984518,0.17461149151533192,0.4946829413515929,0.7987555820184578,0.8529086037511164,0.901428996725216,0.9120512057159864,0.9227270020839536,0.9263768978862756,0.9274724620422744
laplacian_score_t(0.01),0.4568145281333729,0.5801369455194999,0.7371122357844597,0.77292051205716,0.7950699612980056,0.8051324799047336,0.8229651682048227,0.8499612980053587,0.8804048824054778,0.9030842512652576
laplacian_score_t(0.1),0.4841798154212561,0.7383447454599582,0.848234593629056,0.891711818993748,0.9047454599583208,0.9150520988389398,0.9280916939565348,0.930503125930336,0.9430723429592144,0.9410181601667162
laplacian_score_t(1),0.4876391783268832,0.7378505507591546,0.8456802619827332,0.8827686811551055,0.9097648109556415,0.9126644834772252,0.9213218219708244,0.9274010122060138,0.9373146769871988,0.9420601369455194
lsdf,0.6285918428103601,0.8168204822863949,0.8898124441798154,0.91642750818696,0.9171300982435252,0.921827924977672,0.926061327776124,0.9336588270318548,0.9392557308722836,0.9445072938374516
LSFS_gama(0.01),0.1118725811253348,0.18762727002083954,0.38101220601369457,0.7039952366775826,0.8134027984519201,0.8519559392676388,0.8785710032747841,0.912777612384638,0.9093777910092288,0.9259720154807978
LSFS_gama(1),0.13639178326882995,0.23402203036618036,0.6715034236379873,0.7428460851443883,0.8404048824054776,0.8782613873176541,0.9069306341172968,0.9092527537957724,0.9244715689193213,0.9321047930931822
PRPC,0.4441679071152129,0.7876749032450132,0.8309020541827924,0.8639118785352786,0.875367668949092,0.8805061030068473,0.8874426912771659,0.8876391783268832,0.9006549568323906,0.928949091991664
SSelect_theta(0.1)_namuda(1),0.33058052991961895,0.4528431080678774,0.7221018160166718,0.7577374218517415,0.7603632033343256,0.7601131289074127,0.8153200357249182,0.8251443882107768,0.8561357546888957,0.8871926168502533
SSelect_theta(0.1)_namuda(0.5),0.10047037808871684,0.12155403393867233,0.1472045251562965,0.1943852337005061,0.44160166716284605,0.6104793093182495,0.7117713605239656,0.7868651384340575,0.8610181601667162,0.8898362607919023
SSelect_theta(0.1)_namuda(0.1),0.10041083655849957,0.12052991961893428,0.14394164930038705,0.20005358737719556,0.4491038999702289,0.6177374218517415,0.7181363501041974,0.7900327478416196,0.8567073533789822,0.8959154510270914
