index name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
SSelect_theta(1)_namuda(0.5),0,1,36,34,35,21,19,37,29,28,2,11,27,10,26,23,8,32,9,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(1)_namuda(0.6000000000000001),0,21,1,36,35,34,19,37,28,29,27,11,26,10,23,2,8,32,9,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,41,42,18,43,24,25
SSelect_theta(1)_namuda(0.7000000000000001),0,1,21,36,35,34,27,19,37,29,28,11,10,26,23,2,8,32,9,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,42,41,18,43,24,25
SSelect_theta(1)_namuda(0.8),21,1,36,34,35,0,19,37,29,28,11,27,10,2,26,8,32,9,23,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(1)_namuda(0.9),0,1,21,36,35,34,19,37,29,28,2,27,11,10,26,23,8,32,9,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,42,41,18,43,24,25
SSelect_theta(1)_namuda(1.0),2,3,30,10,26,33,1,18,32,28,17,4,23,41,0,12,8,42,14,15,11,27,39,20,6,37,31,16,9,13,34,29,22,43,7,35,21,36,38,19,24,5,40,25
SSelect_theta(10)_namuda(0.0),21,1,36,34,35,0,19,37,29,28,11,27,10,26,23,2,8,32,9,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(10)_namuda(0.1),1,36,21,34,35,0,19,37,2,28,29,11,27,10,26,23,32,8,9,17,20,33,30,12,4,16,13,31,14,7,38,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(10)_namuda(0.2),0,21,1,36,34,35,19,37,2,28,29,11,27,10,26,32,8,9,23,17,20,33,30,12,4,16,13,31,14,7,38,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(10)_namuda(0.30000000000000004),1,36,21,0,27,34,35,19,37,28,29,11,10,26,2,23,32,8,9,17,20,33,30,12,4,16,13,31,14,7,38,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(10)_namuda(0.4),0,21,1,36,34,35,19,37,28,27,11,29,10,26,2,32,8,9,23,17,20,33,30,12,4,16,13,31,14,7,38,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(10)_namuda(0.5),21,1,36,0,34,35,19,37,11,28,10,29,27,2,23,32,26,8,9,17,20,33,30,12,4,16,13,31,14,7,38,5,15,3,6,39,40,22,42,41,18,43,24,25
SSelect_theta(10)_namuda(0.6000000000000001),0,21,1,36,2,34,19,35,37,10,27,11,28,29,26,23,32,8,9,17,20,33,30,12,4,16,13,31,14,7,5,38,3,15,6,39,22,40,42,18,41,43,24,25
SSelect_theta(10)_namuda(0.7000000000000001),21,0,36,1,19,10,34,2,35,37,11,27,26,28,29,32,8,23,9,17,20,33,30,12,4,16,13,31,14,5,7,38,3,15,6,39,40,22,18,42,41,43,24,25
SSelect_theta(10)_namuda(0.8),2,21,0,36,10,1,27,19,11,34,37,32,35,23,26,28,29,8,9,20,17,30,33,12,4,13,16,31,14,5,7,3,38,6,15,39,22,18,40,42,41,43,24,25
SSelect_theta(10)_namuda(0.9),2,10,0,21,36,1,32,19,27,26,11,23,37,34,30,28,8,35,20,12,33,4,29,9,17,13,3,5,14,16,31,7,6,38,18,15,22,39,40,42,41,43,24,25
SSelect_theta(10)_namuda(1.0),2,10,32,18,30,0,12,21,36,23,26,20,4,19,22,3,1,11,13,33,27,5,8,37,14,6,7,17,9,42,15,39,34,31,28,43,38,25,40,16,41,24,35,29
SSelect_theta(100)_namuda(0.0),0,21,1,36,35,34,19,37,29,28,27,11,10,23,2,26,8,32,9,17,20,33,4,30,16,12,13,31,14,7,38,5,15,6,3,39,40,22,41,42,18,43,24,25
SSelect_theta(100)_namuda(0.1),21,32,0,2,10,36,26,20,1,19,11,27,37,33,30,8,34,23,12,13,28,4,35,29,9,31,17,16,3,6,7,5,14,22,38,18,15,39,40,42,41,43,24,25
SSelect_theta(100)_namuda(0.2),32,2,10,21,20,0,36,26,30,33,27,11,19,1,13,8,37,12,31,4,23,34,3,9,6,22,16,28,29,17,35,18,7,5,14,38,39,15,40,42,41,43,24,25
SSelect_theta(100)_namuda(0.30000000000000004),32,2,20,10,21,0,30,33,36,26,13,27,11,31,12,19,8,4,1,37,23,3,6,22,18,34,9,16,17,28,7,29,5,35,14,38,39,15,40,42,41,24,25,43
SSelect_theta(100)_namuda(0.4),32,20,2,10,30,21,0,33,26,36,13,31,12,4,27,11,8,19,3,1,37,23,6,22,18,16,9,34,17,7,28,5,29,14,35,39,38,15,40,42,41,24,25,43
SSelect_theta(100)_namuda(0.5),32,20,2,10,30,21,33,0,26,13,36,31,12,4,27,8,11,3,19,1,6,22,37,18,23,16,9,34,7,17,5,28,29,14,35,39,38,15,40,42,24,25,41,43
SSelect_theta(100)_namuda(0.6000000000000001),32,20,2,10,30,33,21,0,13,26,36,31,12,4,3,27,8,11,19,22,18,6,1,37,23,16,9,7,34,17,5,28,14,29,39,38,35,15,42,40,25,24,41,43
SSelect_theta(100)_namuda(0.7000000000000001),32,20,2,10,30,33,21,0,13,26,36,31,12,4,3,27,8,22,11,18,6,19,37,1,23,16,9,7,34,5,17,14,28,29,39,38,35,15,42,40,25,24,41,43
SSelect_theta(100)_namuda(0.8),32,20,2,10,30,33,21,0,13,26,36,31,12,4,3,22,18,8,27,11,6,19,23,37,1,16,9,7,5,34,17,14,28,39,29,38,35,15,42,40,25,24,41,43
SSelect_theta(100)_namuda(0.9),32,20,2,10,30,33,21,0,13,26,31,36,12,4,3,22,18,8,27,6,11,19,23,37,1,16,7,9,5,17,34,14,28,39,29,38,15,35,42,40,25,24,41,43
SSelect_theta(100)_namuda(1.0),32,20,2,30,10,33,21,13,0,26,31,36,12,4,3,22,18,8,6,27,11,19,23,37,1,16,7,9,5,17,34,14,39,28,29,38,15,35,42,25,40,24,41,43
SSelect_theta(1000)_namuda(0.0),1,21,36,34,35,0,19,37,29,28,2,27,11,10,26,23,8,32,9,17,20,33,4,16,12,30,31,13,14,38,7,5,15,3,6,39,22,40,42,41,18,43,24,25
SSelect_theta(1000)_namuda(0.1),2,21,32,0,36,10,26,20,11,19,37,1,27,33,30,8,23,34,13,4,12,31,9,28,35,29,17,16,3,6,22,7,14,5,38,18,15,39,40,42,41,43,24,25
SSelect_theta(1000)_namuda(0.2),32,2,20,21,10,0,36,33,30,26,11,19,37,27,13,1,8,31,4,12,23,3,34,9,16,6,17,28,22,29,35,18,7,14,5,38,39,15,40,42,41,43,24,25
SSelect_theta(1000)_namuda(0.30000000000000004),32,20,2,10,21,0,33,30,36,26,13,11,31,19,4,37,27,12,8,1,3,23,22,6,18,16,9,34,17,28,7,29,5,35,14,38,39,15,40,42,41,25,24,43
SSelect_theta(1000)_namuda(0.4),32,20,2,10,33,30,21,0,26,36,13,31,11,4,12,27,19,37,8,3,1,23,22,18,6,16,9,34,17,7,5,28,14,29,35,39,38,15,40,42,41,25,24,43
SSelect_theta(1000)_namuda(0.5),32,20,2,10,33,30,21,0,26,36,13,31,4,11,12,3,27,19,8,37,22,1,18,23,6,16,9,17,34,7,5,14,28,29,39,38,35,15,42,40,25,24,41,43
SSelect_theta(1000)_namuda(0.6000000000000001),32,20,2,30,33,10,21,0,13,26,36,31,4,12,11,3,27,8,19,37,22,18,23,1,6,16,9,7,17,34,5,14,28,39,29,38,35,15,42,40,25,24,41,43
SSelect_theta(1000)_namuda(0.7000000000000001),32,20,2,30,33,10,21,0,13,26,36,31,4,3,12,11,8,27,22,19,37,18,6,23,1,16,9,7,17,5,34,14,39,28,38,29,15,35,42,40,25,24,41,43
SSelect_theta(1000)_namuda(0.8),32,20,2,30,33,10,21,0,13,26,36,31,4,3,12,11,22,18,8,27,19,37,6,23,1,16,9,7,17,5,14,34,39,28,38,29,15,35,42,40,25,24,41,43
SSelect_theta(1000)_namuda(0.9),32,20,2,30,33,10,21,0,13,26,31,36,4,3,12,11,22,18,8,27,19,37,6,23,1,16,9,7,5,17,14,34,39,38,28,29,15,35,42,40,25,24,41,43
SSelect_theta(1000)_namuda(1.0),32,20,2,30,33,10,21,13,0,26,31,36,4,3,12,11,22,18,8,27,19,37,6,23,1,16,9,7,5,17,14,34,39,38,28,29,15,35,42,40,25,24,41,43
