index name,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
baseline,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999,0.9848484848479999
fisher_score,0.8235294117647055,0.8823529411764709,0.8529411764705875,0.9411764705882342,0.9411764705882342,0.9705882352941164,0.9705882352941164,0.911764705882353,0.9411764705882342,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9411764705882342,0.9705882352941164,0.9705882352941164,0.9705882352941164
laplacian_score_t(0.01),0.7352941176470583,0.7058823529411765,0.7647058823529417,0.7941176470588238,0.8235294117647055,0.8235294117647055,0.8529411764705875,0.8823529411764709,0.8823529411764709,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9411764705882342,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9411764705882342,0.9411764705882342,0.9411764705882342
laplacian_score_t(0.1),0.6470588235294124,0.8235294117647055,0.9411764705882342,0.911764705882353,0.8823529411764709,0.8529411764705875,0.8823529411764709,0.8529411764705875,0.9411764705882342,0.911764705882353,0.911764705882353,0.911764705882353,0.911764705882353,0.9411764705882342,0.9411764705882342,0.9217647058823532,0.911764705882353,0.9411764705882342,0.9411764705882342,1.0
laplacian_score_t(1),0.6470588235294124,0.8235294117647055,0.9411764705882342,0.911764705882353,0.8823529411764709,0.8529411764705875,0.8823529411764709,0.8529411764705875,0.9411764705882342,0.911764705882353,0.911764705882353,0.911764705882353,0.911764705882353,0.9411764705882342,0.9411764705882342,0.927647058823529,0.911764705882353,0.9411764705882342,0.9411764705882342,1.0
lsdf,0.9705882352941164,1.0,0.9705882352941164,0.9705882352941164,0.9705882352941164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSFS_gama(0.01),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSFS_gama(1),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSFS_gama(1000),0.9705882352941164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRPC,0.911764705882353,0.8823529411764709,0.8823529411764709,0.8823529411764709,0.9411764705882342,0.9411764705882342,0.9411764705882342,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9705882352941164,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSelect_theta(0.1)_namuda(1),0.7647058823529417,0.7647058823529417,0.8529411764705875,0.8235294117647055,0.9411764705882342,0.9411764705882342,0.9705882352941164,0.9705882352941164,0.9705882352941164,0.9705882352941164,1.0,0.9705882352941164,0.9705882352941164,0.9705882352941164,1.0,1.0,1.0,1.0,0.9411764705882342,1.0
SSelect_theta(0.1)_namuda(0.5),0.4123529411764704,0.5294117647058829,0.6176470588235291,0.5882352941176476,0.6764705882352939,0.7058823529411765,0.6764705882352939,0.6764705882352939,0.7647058823529417,0.7647058823529417,0.7352941176470583,0.7352941176470583,0.7941176470588238,0.8235294117647055,0.8235294117647055,0.8529411764705875,0.8235294117647055,0.8529411764705875,0.8529411764705875,0.911764705882353
SSelect_theta(0.1)_namuda(0.1),0.2941176470588238,0.3823529411764709,0.6176470588235291,0.6176470588235291,0.6176470588235291,0.6764705882352939,0.7647058823529417,0.7647058823529417,0.7941176470588238,0.7647058823529417,0.7352941176470583,0.7647058823529417,0.7941176470588238,0.7941176470588238,0.8235294117647055,0.8235294117647055,0.8235294117647055,0.8823529411764709,0.8823529411764709,0.911764705882353
