index name,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950,1000
baseline,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fisher_score,0.9047619047619051,0.9047619047619051,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
laplacian_score_t(0.01),0.7142857142857146,0.9047619047619051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
laplacian_score_t(0.1),0.7142857142857146,0.9047619047619051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
laplacian_score_t(1),0.7142857142857146,0.9047619047619051,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lsdf,0.9047619047619051,0.9047619047619051,0.9523809523809512,0.9523809523809512,0.9523809523809512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSFS_gama(0.01),0.9523809523809512,0.9523809523809512,0.9047619047619051,0.9047619047619051,0.9047619047619051,0.918095238095238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSFS_gama(1),0.9523809523809512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LSFS_gama(1000),0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PRPC,0.9047619047619051,0.8095238095238101,0.8571428571428567,0.9047619047619051,0.9047619047619051,0.9047619047619051,0.9047619047619051,0.9047619047619051,0.9047619047619051,0.9047619047619051,0.9523809523809512,0.9523809523809512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSelect_theta(0.1)_namuda(1),0.8571428571428567,0.9047619047619051,0.9047619047619051,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,1.0,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SSelect_theta(0.1)_namuda(0.5),0.666666666666667,0.666666666666667,0.666666666666667,0.7142857142857146,0.7619047619047619,0.8571428571428567,0.8571428571428567,0.8571428571428567,0.9523809523809512,0.9047619047619051,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512
SSelect_theta(0.1)_namuda(0.1),0.7619047619047619,0.5714285714285721,0.666666666666667,0.666666666666667,0.7619047619047619,0.7619047619047619,0.9047619047619051,0.8571428571428567,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9523809523809512,0.9047619047619051,0.9047619047619051,0.9047619047619051,0.9523809523809512,0.9523809523809512
